ID,Vendor,Filament Name,Material,Color (Hex),Location,Lot #,Comment,Archived,Total Weight (g),Used (g),Remaining (g),Registered,Last Used,Spoolman_Filament_ID,Spoolman_Vendor_ID,Extra: label_printed,Extra: is_refill,Extra: spool_type,Extra: spool_temp,Extra: container_slot
1,Overture,Gold (Silk Gold),PLA,F9E352,PM-DB-3,,,False,1000.0,31.0,969.0,2026-02-07 23:39:58,,1,1,false,false,,,
2,JustMaker,"Red (Chelsea Red, Matte)",PLA,72071C,DR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:39:58,,2,2,false,false,,,
3,Anycubic,Green (Matte),PLA,61C680,DR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,3,3,false,false,,,
4,Sunlu,Red,PLA,AC3638,,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,4,4,false,false,,,
5,Sunlu,Green (Transparent),PLA,00FF33,CR-CT-4,,,False,1000.0,0.0,1000.0,2026-02-07 23:39:59,,5,4,false,false,"""Plastic""",,
6,Sunlu,Green (Transparent),PLA,00FF33,CR-CT-4,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,5,4,false,false,"""Plastic""",,
7,Sunlu,White,PLA,FFFFFF,,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,6,4,false,false,,,
8,Sunlu,White (Porcelain White),PLA,FAFEFE,,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,7,4,false,false,,,
9,Overture,Brown (Chocolate),PLA,57361C,DR-CT-1-R3-R,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,8,1,false,false,,,
10,Sunlu,Beige,PLA,FFCBAC,DR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,9,4,false,false,,,
11,Anycubic,Green,PETG,009639,CR-CT-1-R3,,,False,1000.0,31.0,969.0,2026-02-07 23:39:59,,10,3,false,false,,,
12,Anycubic,Red,PETG,FF0000,CR-CT-1-R3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,11,3,false,false,,,
13,Anycubic,Blue,PETG,0042A9,CR-CT-1-R3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,12,3,false,false,,,
14,Anycubic,Yellow,PETG,F5EC00,CR-CT-1-R3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,13,3,false,false,,,
15,Elegoo,Orange,PETG,F08000,CR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,14,5,false,false,,,
16,Creality,Orange,PETG,E16009,CR-CT-1-R1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,15,6,false,false,,,
17,Overture,Purple,TPU,9500E6,DR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,16,1,false,false,,,
18,Sunlu,Black (High Speed),TPU,000000,PM-DB-2,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,17,4,false,false,,,
19,Sunlu,Yellow (High Speed),TPU,EDF109,CR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,18,4,false,false,,,
20,Sunlu,Pink (High Speed),TPU,FB79AB,CR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:00,,19,4,false,false,,,
21,Geeetech,Green,TPU,57FB41,CR-CT-1-R1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:01,,20,7,false,false,,,
22,Ziro,Purple,TPU,692B8B,CR-CT-1,,,False,800.0,0.0,800.0,2026-02-07 23:40:01,,21,8,false,false,,,
23,Creality,White,TPU,FFFFFF,CR-CT-1,,,False,1000.0,31.0,969.0,2026-02-07 23:40:01,,22,6,false,false,,,
24,Prusament,Orange (Prusa Orange),PETG,FE6E32,XL-3,,,False,1000.0,0.0,1000.0,2026-02-07 23:40:01,,23,9,false,false,,,
25,Prusament,Orange (Prusa Orange),PETG,FE6E32,XL-3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:01,,23,9,false,false,,,
26,Polymaker,Clear,PVA,,CR-CT-3,,,False,750.0,0.0,750.0,2026-02-07 23:40:01,,24,10,false,false,,,
27,Overture,Purple (Shimmer Purple),PLA,906482,DR-CT-1-R2-L,,,False,1000.0,31.0,969.0,2026-02-07 23:40:01,,25,1,false,false,"""Cardboard""",,
28,Overture,Black,ABS,000000,CR-CT-3,,,False,1000.0,0.0,1000.0,2026-02-07 23:40:01,,26,1,false,false,,,
29,Overture,Black,ABS,000000,CR-CT-3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:01,,26,1,false,false,,,
30,Gizmo Dorks,White,HIPS,FFFFFF,CR-CT-3,,,False,1000.0,0.0,1000.0,2026-02-07 23:40:02,,27,11,false,false,,,
31,Gizmo Dorks,White,HIPS,FFFFFF,CR-CT-3,,,False,1000.0,31.0,969.0,2026-02-07 23:40:02,,27,11,false,false,,,
32,Overture,"Clear (Translucent, Transparent)",PETG,BEC3C6,CR-CT-1-R1,,,False,1000.0,0.0,1000.0,2026-02-07 23:40:02,,28,1,false,false,"""Cardboard""",,
